uri,cid,text,created_at,reply_count,repost_count,like_count,author_handle,author_display_name,author_avatar,author_did
at://did:plc:fwxowofybyaqnxqfbbp7ix3j/app.bsky.feed.post/3kppo2hzuu52i,bafyreigmjpwnmsh7jbv45su5x2hgm7a2z5nziorn6zgqi3f2itejqzh4je,Bskyte e esquerdista,2024-04-09T17:10:43.765Z,0,2,6,viclulaland.bsky.social,Vic Lulaland 🚩🇪🇭🐶,https://cdn.bsky.app/img/avatar/plain/did:plc:fwxowofybyaqnxqfbbp7ix3j/bafkreibg3psxbelepvgabwnwckrovysrvxfsoowvkttk4iksafyjcsbtdu@jpeg,did:plc:fwxowofybyaqnxqfbbp7ix3j
at://did:plc:iz2wuxatgvut7sflyz4wdxi6/app.bsky.feed.post/3kppl4pzljd2j,bafyreib3ktozqy2ngsrajznbl2flckajwgpvk5l4ak327ihwsxbjzkzx54,"Vamo lá, galera!!

A regra é simples: se alguém te seguir, segue de volta nessa grande suruba vermelha esquerdista.

Corre !!!!🏃‍♂️",2024-04-09T16:18:22.462Z,0,0,0,bastiaoraposa.bsky.social,Kennedy,https://cdn.bsky.app/img/avatar/plain/did:plc:iz2wuxatgvut7sflyz4wdxi6/bafkreih5tx53mtqbvjsv2nyxo7v7rupz3g5sepziwmbbzeztobrknowwtm@jpeg,did:plc:iz2wuxatgvut7sflyz4wdxi6
at://did:plc:azug7t5saxr6pfwiibfbpugq/app.bsky.feed.post/3kppktbepap2x,bafyreigkb67srv4yfv3zhif45b5t6ckdb7atbb6fcplm3gik7wf7pojjaq,"Sou de Salvador/Bahia. Esquerdista desde sempre.
Viva Brizola!
Viva Darcy Ribeiro!
Viva Lula!
Viva Dilma!",2024-04-09T16:13:05.168Z,0,0,1,ativista-zangado.bsky.social,𝘈𝘵𝘪𝘷𝘪𝘴𝘵𝘢 𝘡𝘢𝘯𝘨𝘢𝘥𝘰®️     ★ 13 ☭ ,https://cdn.bsky.app/img/avatar/plain/did:plc:azug7t5saxr6pfwiibfbpugq/bafkreidnxcviducdytfwq6une56nmzv4zd5kgt2gp4izs7jqyk3wrw7x4m@jpeg,did:plc:azug7t5saxr6pfwiibfbpugq
at://did:plc:azug7t5saxr6pfwiibfbpugq/app.bsky.feed.post/3kppkqt35ii2k,bafyreiabwf6sn2cqx2hmbjyxp2jjnelm2dvepaplf2tgvlya6hifi6jbge,"Sou de Salvador/Bahia. Esquerdista desde sempre.
Viva Brizola!
Viva Darcy Ribeiro!
Viva Lula!
Viva Dilma!",2024-04-09T16:11:43.174Z,0,0,1,ativista-zangado.bsky.social,𝘈𝘵𝘪𝘷𝘪𝘴𝘵𝘢 𝘡𝘢𝘯𝘨𝘢𝘥𝘰®️     ★ 13 ☭ ,https://cdn.bsky.app/img/avatar/plain/did:plc:azug7t5saxr6pfwiibfbpugq/bafkreidnxcviducdytfwq6une56nmzv4zd5kgt2gp4izs7jqyk3wrw7x4m@jpeg,did:plc:azug7t5saxr6pfwiibfbpugq
at://did:plc:y7ntmid5qldqy5lgm4rg5jog/app.bsky.feed.post/3kppkgwjzjt2h,bafyreifngqyzml2gsnvcjslm3sdulabawlbj4rwmoeuby577xcumci6ady,Sou esquerdista,2024-04-09T16:06:11.756Z,1,0,1,dleandrof.bsky.social,Dinair Leandro 🚩Sou de Esquerda👈🏾,https://cdn.bsky.app/img/avatar/plain/did:plc:y7ntmid5qldqy5lgm4rg5jog/bafkreidthx2rab3zqjiaoqttg6eaiixo6i6fxpryav57qyj43znqgosdsy@jpeg,did:plc:y7ntmid5qldqy5lgm4rg5jog
at://did:plc:oz5kvecfovcurmbnqnbfpm4v/app.bsky.feed.post/3kppjeg32aa2e,bafyreiae36ter7wmaotss3g72wgpyzjxpmwcsozzinkfoa326evjjh5b7m,sempre bom deixar claro que sou esquerdista,2024-04-09T15:46:52.185Z,0,0,0,marcellooo.bsky.social,marcello,https://cdn.bsky.app/img/avatar/plain/did:plc:oz5kvecfovcurmbnqnbfpm4v/bafkreig4s4x5tgltftbzcugyjwuiy6isoozzm2azw2kgoypyhwt6qjpxg4@jpeg,did:plc:oz5kvecfovcurmbnqnbfpm4v
at://did:plc:77y7ubrpv4u5mfcdw2jt6iej/app.bsky.feed.post/3kppi2rgbxn2h,bafyreihhv5gtp7bmy7clqgkybnxxftzhnog3uyhxs2ga4mhvpwf2uitwty,"E aí?

Se eu não estiver seguindo algum esquerdista de volta me avisem!",2024-04-09T15:23:35.344Z,7,0,24,pernascruzadas.bsky.social,Pernas Femininas Cruzadas,https://cdn.bsky.app/img/avatar/plain/did:plc:77y7ubrpv4u5mfcdw2jt6iej/bafkreibr4mnmjmkmg4k6j5uaonkyxyzgnt7nznts7wwyh4zystrfpbk6du@jpeg,did:plc:77y7ubrpv4u5mfcdw2jt6iej
at://did:plc:fqiqxn37kufeiurpxz2rm3fw/app.bsky.feed.post/3kpphso5tq22z,bafyreiguuyisf6nmt4tnaeapdwmt7idjb2w6x56luo7hywoqnsifm6jjgy,Sou esquerdista,2024-04-09T15:19:05.562Z,0,1,2,doctorjoao.bsky.social,DoctorJoao 🚩🚩🚩,https://cdn.bsky.app/img/avatar/plain/did:plc:fqiqxn37kufeiurpxz2rm3fw/bafkreicvtienoco3ffnkwuzvabgpge6fswiuowfuzjefjphm7ftueza4ma@jpeg,did:plc:fqiqxn37kufeiurpxz2rm3fw
at://did:plc:auhkaiep3g6krparfjzdvtpz/app.bsky.feed.post/3kppg46hlnb2e,bafyreiaeelxmse7zuhz7ppyptsnnmtq2un3dv5tvfcirrsm5jadfbd6jru,"Esquerdista é nóia de fontes.
A gente come link no café da manhã.

Não vem com opinião desinformada que a gente silencia sem dó.

Hoje mesmo já rodou um.",2024-04-09T14:48:35.354Z,0,0,3,johnnyc.bsky.social,Johnny Ciocca 🚂☭🇵🇸,https://cdn.bsky.app/img/avatar/plain/did:plc:auhkaiep3g6krparfjzdvtpz/bafkreibfddhilq4d2ztkyatm6tjtjswqs3ecs7j2qw4y36brd42bbd6maq@jpeg,did:plc:auhkaiep3g6krparfjzdvtpz
at://did:plc:emwjnblz2e2ov26fd7tptnfl/app.bsky.feed.post/3kppf6tlhqp2x,bafyreicslamwnj744tjfpqd5c7f6u5zmvjmm6b4tdfbo5ewbohnamspame,🦋Esquerdista aqui!! 💪🏻,2024-04-09T14:32:11.073Z,0,0,0,reneves01.bsky.social,🦋Le Papillon Bleu,https://cdn.bsky.app/img/avatar/plain/did:plc:emwjnblz2e2ov26fd7tptnfl/bafkreifp7df2qcqfewyzyu5j4dctpapz437dro56qzp62snid6qrcui2ya@jpeg,did:plc:emwjnblz2e2ov26fd7tptnfl
