uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did,violence_detected
at://did:plc:jwc2dzgnesm7vzwzqowptskm/app.bsky.feed.post/3l3vo4ndolj26,bafyreihfpt3s5ot3chfiweh4ojpc5x5zk5dyvbolfsfnr4wpac62ocvbfa,"Oi Célia, nós estamos aqui lutando pelo PT, o X foi bloqueado, lá nós tínhamos 35.7 mil e5 milhões de visualizações poe mês, então Célia, podemos ajudar, só depende de vc nos dizer em que vc poderá nos ajuadar e nossa luta, pois temos gastso como , internet, luz, e manutenção de nossos Notbook ...",2024-09-11T19:30:18Z,0,0,0,2024-09-11T19:30:18Z,brasilpost.bsky.social,Na Mira do Repórter.,did:plc:jwc2dzgnesm7vzwzqowptskm,sem violência detectada
at://did:plc:kxmmdokv3ws4hqjavgcrr6om/app.bsky.feed.post/3l3yonq4k2q2r,bafyreigntwqyomskmjhlkfb54z6rurb4tfpkfruqtclvoejynzfyjqzvum,Sigam a candidata do presidente Lula esquerda 🚩🚩🚩🚩,2024-09-13T00:17:49Z,0,0,0,2024-09-13T00:17:49Z,evarubio.bsky.social,Eva 🚩 No X perfil Palestina livre,did:plc:kxmmdokv3ws4hqjavgcrr6om,sem violência detectada
at://did:plc:od4kiltjkva446vvef6djhok/app.bsky.feed.post/3l3lr4tn2sb2n,bafyreidemzw4iunvvyir6f7qrknkeyvpyxp7jvrsscziaq4emruvdkt6za,"Força, companheira!",2024-09-07T20:57:28Z,0,0,1,2024-09-07T20:57:28Z,avanci.bsky.social,João Avanci ★,did:plc:od4kiltjkva446vvef6djhok,sem violência detectada
at://did:plc:kxmmdokv3ws4hqjavgcrr6om/app.bsky.feed.post/3l3s76zwjhx2w,bafyreicdtuvvx7beq4fttl2h6um257vpfym4fnatvtpvb6uzy3evtce3my,Sigam a candidata do presidente Lula esquerda 🚩🚩🚩🚩🚩,2024-09-10T10:25:12Z,0,0,0,2024-09-10T10:25:12Z,evarubio.bsky.social,Eva 🚩 No X perfil Palestina livre,did:plc:kxmmdokv3ws4hqjavgcrr6om,sem violência detectada
at://did:plc:5jmtfiky62cyrro3hwc3vhly/app.bsky.feed.post/3l3hkzuv4772z,bafyreib5njj72be63bmprbkhqooz4laptvfuga3wtvxvzuisya4tzmajmi,"CARIACICA (ES) 13

CÉLIA TAVARES PREFEITA

AÇUCENA 13133 VEREADORA",2024-09-06T04:55:22Z,0,0,1,2024-09-06T04:55:22Z,luciahmachiolli.bsky.social,NA,did:plc:5jmtfiky62cyrro3hwc3vhly,sem violência detectada
