uri,cid,text,created_at,reply_count,repost_count,like_count,author_handle,author_display_name,author_avatar,author_did
at://did:plc:skyspw5t5wppj4wr4a4tnb4u/app.bsky.feed.post/3l4m5zfduis25,bafyreihp3wn6bbb2mqjk2oc3kiaxzyvaajjuedotgcd7za5ewnpimwm52a,boules chatabata e quico,2024-09-20T18:13:23.465Z,1,0,1,messedupkid.bsky.social,giovanna  ,https://cdn.bsky.app/img/avatar/plain/did:plc:skyspw5t5wppj4wr4a4tnb4u/bafkreidkkbs6pjjwfpuaet3v4zy2gm5xczto6hqah7yso7c2iwz3mk7cfu@jpeg,did:plc:skyspw5t5wppj4wr4a4tnb4u
at://did:plc:zcnq4ihcoocbcuq5dayigid4/app.bsky.feed.post/3l4m43hez4223,bafyreicbxiq6lzmkn2ifmvectpynwfnly52nvmwu6gabg57lrgrhrrxxye,Primeira vez que eu vejo o Marçal falando sério e a chatabata fala q o homem tá brincando eueheueheeueheh,2024-09-20T17:38:42.300Z,0,0,0,willerxavier.bsky.social,Willer Xavier,https://cdn.bsky.app/img/avatar/plain/did:plc:zcnq4ihcoocbcuq5dayigid4/bafkreictqldklhvyss5gfrvauzc7p3oxl7jqova6xfgijrxr4xfs4kgmem@jpeg,did:plc:zcnq4ihcoocbcuq5dayigid4
at://did:plc:zb5oq6r4bi6r7n3gv63aez4y/app.bsky.feed.post/3l4lxek5kdk2c,bafyreiaen5lbumvctztahzr5daaj6lvm6hh4zfevb46o7riden5dpz4zuq,"A CHATABATA não desiste, tadinha 🤣🤣🤣🤣🤣🤣🤣🤣🤣",2024-09-20T16:14:22.015Z,1,0,0,ladybi.bsky.social,XANDECA MUSK,https://cdn.bsky.app/img/avatar/plain/did:plc:zb5oq6r4bi6r7n3gv63aez4y/bafkreiesefdtzntplrrnmbptdxcabgiswnkm6pb5jyolluatskw2u2yyni@jpeg,did:plc:zb5oq6r4bi6r7n3gv63aez4y
at://did:plc:ugf7uksoc2ebawmyivlklhad/app.bsky.feed.post/3l4lwfxzqlk2x,bafyreidercoo4yerdcenacbixx5jfgcxx2vumr7h7ei5hjcbrgyktvtwam,"Essa Chatabata é contra o trabalhador brasileiro, sua carinha não engana ninguém. E ela fala com os braços descendo pra baixo, parece um robô. #debateNovaBrasil",2024-09-20T15:57:16.574Z,0,0,0,monalisafiota.bsky.social,,https://cdn.bsky.app/img/avatar/plain/did:plc:ugf7uksoc2ebawmyivlklhad/bafkreigis67smvkckgn72ocry55bcirj3dmwtx6jrnkwxlla2rzs6pu5ue@jpeg,did:plc:ugf7uksoc2ebawmyivlklhad
at://did:plc:vfyxfffcg3a5rmxqnsb4w4xa/app.bsky.feed.post/3l4luf6sp2c2x,bafyreigsmdwz2qylkn4pague65eox5ocvjv53kw5dc7u6jw3mq6nb5b2eu,"Chatabata🥱

#DebateSBT",2024-09-20T15:21:02.395Z,0,0,0,anandarise.bsky.social,Ananda Rise ,https://cdn.bsky.app/img/avatar/plain/did:plc:vfyxfffcg3a5rmxqnsb4w4xa/bafkreieqnti52twl23srxn3sjcj5jftv5qsxqyr2ouzutbrifhqzcmmpni@jpeg,did:plc:vfyxfffcg3a5rmxqnsb4w4xa
at://did:plc:6mfeos3ixtllw4gcq7cxmt2l/app.bsky.feed.post/3l4luf6br2k27,bafyreicdln7aqgf2btnu7ekrewjkzok32i24jj4mpzvi2s53dc3o6kycvy,a burrice da chatabata é surpreendente,2024-09-20T15:21:01.823Z,0,0,0,kawanmatos.bsky.social,kawan¹ᶜᵉᶜ🏎️🦊,https://cdn.bsky.app/img/avatar/plain/did:plc:6mfeos3ixtllw4gcq7cxmt2l/bafkreibc3afqnhrhjvhv5gchsyp26sypgqxwb76z4kjo37nsi2fp5xtp7i@jpeg,did:plc:6mfeos3ixtllw4gcq7cxmt2l
at://did:plc:ivt45em2bxlola25tkhowqmg/app.bsky.feed.post/3l4lsoqww722q,bafyreigjwph7s6ctbpw65fe6vpybo2bs2irj32rfy7mhceqv3bxyp6iwhq,#CHATÁBATA,2024-09-20T14:48:18.019Z,0,0,0,tarot21.bsky.social,,https://cdn.bsky.app/img/avatar/plain/did:plc:ivt45em2bxlola25tkhowqmg/bafkreid5xd7nhcgcnwgzwuh7yvdop4cd5gsjhoboecv5ivamzpuxh6a6mi@jpeg,did:plc:ivt45em2bxlola25tkhowqmg
at://did:plc:gbmfgqdvsue3zapu333klkab/app.bsky.feed.post/3l4ls3uqlxc23,bafyreifcbotqh6swzaejqy4dbeb4gxqd7fs2viwj7akjk56swozqnx4ska,Chatabata amassando o Marçal #DebateSBT,2024-09-20T14:40:02.373Z,0,0,0,eitaluccas.bsky.social,luccas ,https://cdn.bsky.app/img/avatar/plain/did:plc:gbmfgqdvsue3zapu333klkab/bafkreigte3j67qpwt6yaoefy6dzy6edkzu6fthxfl777pcvklgn5sggstm@jpeg,did:plc:gbmfgqdvsue3zapu333klkab
at://did:plc:ygsiuidqn7vpyvrbklacdjtg/app.bsky.feed.post/3l4jth6h3pp2y,bafyreicjmgieeiqex5gfpl4v3kikvjgbkmfbht2sgypdw57ypf2r7bshh4,"Milagre será Boulos vencer Nunes, que luta contra uma estigmatização absurda e em paralelo com a falta de consciência política dos paulistas, capazes de votar num prefeito envolvido com putarias mis, e que herdará os votos de Lamarçal, Dapena e Chatabata. Gostaria de me enganar, mas não vejo como.",2024-09-19T19:58:55.536Z,0,0,8,marcosnunes.bsky.social,MarcosNunes,https://cdn.bsky.app/img/avatar/plain/did:plc:ygsiuidqn7vpyvrbklacdjtg/bafkreie6wgmsdueusb5eje4yg7puutj4t4du75saglzkabkwb4guk6o7ae@jpeg,did:plc:ygsiuidqn7vpyvrbklacdjtg
at://did:plc:ygsiuidqn7vpyvrbklacdjtg/app.bsky.feed.post/3l4jtgrbz2z2o,bafyreidfcs6lfykuh23hgxih5rwi3jnwl2n4ccq5fhfe2irk6v2nmedgti,"Milagre será Boulos vencer Nunes, que luta contra uma estigmatização absurda e em paralelo com a falta de consciência política dos paulistas, capazes de votar num prefeito envolvido com putarias mis, e que herdará os votos de Lamarçal, Dapena e Chatabata. Gostaria de me enganar, mas não vejo como.",2024-09-19T19:58:42.193Z,1,0,2,marcosnunes.bsky.social,MarcosNunes,https://cdn.bsky.app/img/avatar/plain/did:plc:ygsiuidqn7vpyvrbklacdjtg/bafkreie6wgmsdueusb5eje4yg7puutj4t4du75saglzkabkwb4guk6o7ae@jpeg,did:plc:ygsiuidqn7vpyvrbklacdjtg
