reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4y5b3snyg2h,bafyreic4thp2gxhkytfc2xcf6fs7m6lvyp25plsf7vrtmpws3zccmk44ry,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4y55r27q42z,"Vitória será a cidade que cuida de quem mais precisa!

Pra quem não sabe, eu sou Assistente Social por formação. Com nosso projeto político na prefeitura, a área de assistência social vai garantir mais dignidade e oportunidades para todas as pessoas!","Vamos construir uma cidade mais justa, cuidadora e inclusiva!

💬 Aproveita e me conta nos comentários se já segue nosso perfil @prefeitacamila50 para ficar por dentro do nosso programa de governo!",2024-09-25T12:31:45.955Z,0,0,1,2024-09-25T12:31:45.955Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4whhmp2ls2z,bafyreih32vh6wieegpof6z7vis22ufvqkx3x7w3i3sltvixceyfxunoswa,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4whfgn2kc2b,"🍽️ Promessas não alimentam quem tem fome! Em quatro anos, o restaurante popular de Vitória continua fechado. 

▶️ Assista nosso programa 

Vote 5️⃣0️⃣, Camila Valadão prefeita!
____
Federação PSOL/REDE - CNPJ: 56.846.431/0001-28","O combate à fome é nosso compromisso! Vamos garantir que ninguém passe necessidade em Vitória!

📲 Siga @prefeitacamila50, conheça nossas ideias e compartilhe com quem precisa conhecer! 

Vote 5️⃣0️⃣!",2024-09-24T20:29:01.480Z,0,0,1,2024-09-24T20:29:01.480Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4vjhnsfmw2p,bafyreiesnghhm3mphaayhr7dmuubc4qtmzbxmgzlowb6abynkbeaj3yw7e,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4vjg3qd4x2s,"A segurança alimentar é um direito de todas as pessoas, mas ainda há muito a ser feito em Vitória! 

Saiba como nossas propostas podem transformar a realidade de quem mais precisa.","Vamos lutar por uma Vitória sem fome! 

Siga @prefeitacamila50,  conheça nossas ideias e compartilhe essa mensagem com quem precisa conhecer! 

#SegurançaAlimentar #Fome #CamilaValadao50 #CamilaValadaoPrefeita #VitóriaSemFome",2024-09-24T11:32:11.105Z,0,0,1,2024-09-24T11:32:11.105Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4qmjeq5cr2e,bafyreigp55iyhylznt7wkzsloglugyzd373ovgdm7kkkxloxk3wrrz6phq,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4qmihgsho2d,"DIA MUNDIAL SEM CARRO | Hoje é uma boa oportunidade para repensar a mobilidade em Vitória, em cima de uma bike ou andando pela cidade! 

🤔 Curioso para saber como? 

👉🏾 Conheça algumas propostas do nosso programa de governo, que vão transformar a mobilidade da nossa cidade!","Depois de tomar uma água, siga @prefeitacamila50 para saber mais dos nossos planos para Vitória!

🏃🏾‍♀️Comente aqui qual foi seu KM hoje?",2024-09-22T12:43:32.657Z,0,0,1,2024-09-22T12:43:32.559Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:74tywpppfwqbzdpf65rvyz7g/app.bsky.feed.post/3l4qmjoimxo2b,bafyreidq547dzevkt6yobw4mevdif7pe4f376fl6qwjqqm5w7znxx5apbu,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4qmihgsho2d,"DIA MUNDIAL SEM CARRO | Hoje é uma boa oportunidade para repensar a mobilidade em Vitória, em cima de uma bike ou andando pela cidade! 

🤔 Curioso para saber como? 

👉🏾 Conheça algumas propostas do nosso programa de governo, que vão transformar a mobilidade da nossa cidade!",Eu nem sabia disso e fui de bike no supermercado 😅,2024-09-22T12:43:43.207Z,1,0,1,2024-09-22T12:43:42.111Z,vitorkfuri.bsky.social,Kfurifenazina 🇱🇧🇵🇸🇮🇷,did:plc:74tywpppfwqbzdpf65rvyz7g
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4opdvffcx2j,bafyreigdhejyl245l2k5g2eaigloeiwmzoleuq67vlqlti3p5jk3lhqyfy,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4opctul5p2n,"📚📖 A educação é o caminho para uma cidade com mais sonhos e mais oportunidades para todas as pessoas. Por isso, nosso programa de governo traz propostas firmes e planejadas para melhorar a educação em Vitória! 

👉🏾 Conheça alguma dessas propostas! 

👇🏾 Tem mais.. 

 #CamilaValadão50","Quer saber mais sobre como vamos transformar nossas escolas em espaços mais inclusivos, acolhedores e com profissionais valorizadas? 

📲 Siga @prefeitacamila50 lá no Instagram! 

Vote 50! A educação pode (e vai!) transformar vidas. 💛",2024-09-21T18:28:48.416Z,0,0,1,2024-09-21T18:28:48.416Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4hi7eyra327,bafyreihluj5vp5hjhn42e5w2q4fxfrkcgjuipm5w6xirv5is67675mqpre,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4hi6pkrzz2s,"Esses momentos renovam nossa força e esperança. 😍

A clareza das propostas e o compromisso com uma Vitória de mais oportunidades o fizeram acreditar que essa é a escolha certa. São essas trocas que nos impulsionam a seguir firmes! 

👇🏾 Segue o fio.. 

#Vote50 #CamilaValadão50 #CamilaValadãoPrefeita","Conhece alguém que também está precisando mudar de voto?

Compartilhe esse vídeo e nossas propostas com quem pode se juntar a nós por uma Vitória de Novos Sonhos! 

#Vote50 #MudaVoto #CamilaValadão50 #CamilaValadãoPrefeita #VitóriaDeNovosSonhos",2024-09-18T21:32:23.708Z,0,0,1,2024-09-18T21:32:23.708Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4h2yh5i2b2r,bafyreiaom2zmo76ngg2t5ynq6jilfz376gigbgdqt57mudyswg3zbvki6m,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4h2xy4ala2g,"Hoje foi dia de panfletagem na feira de Santo Antônio! Estivemos lá, com nosso time de vereadores, levando nossas propostas e conversando com quem faz desse bairro um lugar tão especial.

St. Antônio é um bairro cheio de vida, de gente batalhadora e nossa campanha só cresce com esse apoio!","Seguimos firmes para transformar Vitória em uma cidade que cuida e oferece oportunidades para todas as pessoas!

👉🏾 Acesse nosso perfil @prefeitacamila50 no Instagram e conheça mais sobre nosso plano de governo!",2024-09-18T17:35:52.454Z,0,0,1,2024-09-18T17:35:52.454Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4ewdpcqxj2r,bafyreigujsmwkf5gasxyjber2irwcohylegom37qwrsnotq3ggydst2tvy,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4ewb5tvzb2r,"Durante o debate de ontem na TV Capixaba/Band, mostramos algumas das nossas propostas para enfrentar os desafios de Vitória, sempre pensando em uma cidade com oportunidades para todas as pessoas.

👉🏽 Role o carrossel e confira!

#CamilaValadãoPrefeita #Eleições2024 #DebateBand #CamilaValadao50","Quer saber mais? Conheça o nosso Programa de Governo completo, disponível no link da bio ou no perfil @prefeitacamila50 lá no Instagram.",2024-09-17T21:07:21.909Z,0,0,1,2024-09-17T21:07:21.909Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:kzqozcrlaayor5pobuuh6clj/app.bsky.feed.post/3l4cyyyzxwm22,bafyreie4ehcqekqi5ijeougp3qy53mrd365rsfwlm4e7fl2ltw5ic7ysfq,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4cygd6xm525,"Enquanto uns evitam e fogem do diálogo, estamos aqui, apresentando propostas e enfrentando os desafios da nossa cidade com coragem e transparência.

👀 Ainda não está assistindo? Corre no link www.youtube.com/watch?v=FpKK...",Indiscutivelmente a melhor!!!,2024-09-17T02:49:45.190Z,1,0,1,2024-09-17T02:49:45.110Z,pedropavioti.bsky.social,Pedro  🇵🇸,did:plc:kzqozcrlaayor5pobuuh6clj
