reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did,palavras_encontradas,contagem_palavras
at://did:plc:jtsimiyb274blp5lfl3oowx2/app.bsky.feed.post/3l34qwhzbc22l,bafyreidkisftlogds4xbob5o7dntcfo3m27r6toozcsfktrusutkaz4yvm,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l34piuvhd52o,"Marçal, você é um bandido condenado. As pessoas estão descobrindo isso e vão descobrir ainda mais até o dia 6 de outubro! #BoulosPrefeito50 #DebateGazetaMyNews",guilhermeboulos.bsky.social,Insisto que o candidato com M de MALA já deveria ter saído preso de um desses debates por agressão psicológica moral e cívica! O povo daqui de Goiás conhece bem essa figurinha carimbada!,2024-09-01T21:43:58Z,0,0,0,2024-09-01T21:43:58Z,escutacris.bsky.social,Cris Martins,did:plc:jtsimiyb274blp5lfl3oowx2,moral,1
at://did:plc:bjhnzyexefekv2tlzghqfrvv/app.bsky.feed.post/3l34rrzu3zn2t,bafyreihny4gx7aimhlgqjvgawhjr6zppu6xxufgepzsbhhvve3hlkjcxui,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l34piuvhd52o,"Marçal, você é um bandido condenado. As pessoas estão descobrindo isso e vão descobrir ainda mais até o dia 6 de outubro! #BoulosPrefeito50 #DebateGazetaMyNews",guilhermeboulos.bsky.social,Da-lhe surra de pau quadrado nesse pilantra do Boçal!,2024-09-01T21:59:24Z,0,0,0,2024-09-01T21:59:24Z,chalegre.sigam.me,André Chalegre 🇨🇳🇵🇸🇧🇷,did:plc:bjhnzyexefekv2tlzghqfrvv,pilantra,1
at://did:plc:7o3mgfutq6rnbkjwds2bfenh/app.bsky.feed.post/3l3g6haf3ss2h,bafyreiejua2alv55zz5fsandcqdegzvita6iqe35eo46ut3gdgfpgrotwm,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3ejixxwtk27,"Oi pessoal, quero compartilhar com vocês o resultado da pesquisa de intenção de votos realizada pelo Instituto Quaest. É importante lembrar que as pesquisas refletem o momento atual, por isso, o trabalho não para. 💪🏻 💟

#AdrianaPrefeita #Goiânia #Compromisso",adrianaaccorsi.bsky.social,"TODAS AS VEZES QUE O PARTIDO DOS TRABALHADORES PT-13, GOVERNA O BRASIL, nosso País VIVE MARÉ DE BENÇÃOS (que a burguesia porca e golpista, diz ser SORTE). www.bbc.com/portuguese/a...  ... então,  VOTE no SEU PARTIDO dos TRABALHADORES -PT.13. PT, Há 44 anos TRAZENDO SORTE para todo o Povo Brasileiro.",2024-09-05T15:39:59Z,0,0,2,2024-09-05T15:39:58Z,sergioaraujoadv.bsky.social,Sergio Araujo Recifense Pernambucano e Nordestino,did:plc:7o3mgfutq6rnbkjwds2bfenh,porca,1
at://did:plc:lp3z43pbxm727fx245nadrtk/app.bsky.feed.post/3l5qgkvheng2x,bafyreibep357brxgxqesxaqac7mgxxag2bti4cwottansjufbk7kbsnkdy,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5qdyl2mq42f,"Com ANUÊNCIA DA MÍDIA, Marçal mente que Boulos estava internado por uso de drogas, quando na verdade ele estava ajudando quem tem fome durante a pandemia.

Esse é o nível que a direita chegou em São Paulo. Por medo de que alguém que luta contra a fome na nossa Cidade se sente na cadeira de Prefeito.",amandapaschoal.bsky.social,"Tava ajudando só pra filmar e depois fazer campanha política em cima
Deixa de ser hipócrita",2024-10-05T04:20:37Z,7,0,2,2024-10-05T04:20:37Z,augusto1234.bsky.social,Augusto,did:plc:lp3z43pbxm727fx245nadrtk,hipócrita,1
at://did:plc:rjjuq5xp3xilnwopn3ynrubr/app.bsky.feed.post/3l5qe3hjrpf2r,bafyreiegitrnnn3j32abze2tciuhjgob565oksrxzu22bnw2vjv5vqwstm,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5qdxx54772x,"O que Pablo Marçal fez hoje é CRIMINOSO.

Ele postou um falso laudo que supostamente provaria que Boulos foi internado por ""uso de drogas"".

No dia da falsa internação, ele estava fazendo Live. No dia seguinte, estava distribuindo comida na Favela do Vietnã.

ELE ESTAVA DISTRIBUINDO COMIDA NA FAVELA",amandapaschoal.bsky.social,"Isso é muito baixo, coitada das filhas dele que tem que ver essas mentiras e ataques descabidos",2024-10-05T03:37:47Z,1,0,41,2024-10-05T03:37:46Z,marcosvinicius.bsky.social,Marcos Vinicius,did:plc:rjjuq5xp3xilnwopn3ynrubr,coitada,1
at://did:plc:nmzsipor74oxrkwygzxdzdq6/app.bsky.feed.post/3l5qtdawgxd2c,bafyreicsi7hud3tw4bvkvfirekqzzjmqhkh6svymnzad4hkbxeyajkx52a,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5qdxx54772x,"O que Pablo Marçal fez hoje é CRIMINOSO.

Ele postou um falso laudo que supostamente provaria que Boulos foi internado por ""uso de drogas"".

No dia da falsa internação, ele estava fazendo Live. No dia seguinte, estava distribuindo comida na Favela do Vietnã.

ELE ESTAVA DISTRIBUINDO COMIDA NA FAVELA",amandapaschoal.bsky.social,"hoje não, ele só age de forma criminosa",2024-10-05T08:10:33Z,0,0,0,2024-10-05T08:10:33Z,wanderpalmas.bsky.social,WanderPalmas,did:plc:nmzsipor74oxrkwygzxdzdq6,criminosa,1
at://did:plc:66d4myypwtzbuvibzvhskqcj/app.bsky.feed.post/3l5r7pxhba22n,bafyreicr3o3vx5rgld6vtqz5gw66d4mkjy6qnf3bsvrs6rs4kc6wngunle,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5qdxx54772x,"O que Pablo Marçal fez hoje é CRIMINOSO.

Ele postou um falso laudo que supostamente provaria que Boulos foi internado por ""uso de drogas"".

No dia da falsa internação, ele estava fazendo Live. No dia seguinte, estava distribuindo comida na Favela do Vietnã.

ELE ESTAVA DISTRIBUINDO COMIDA NA FAVELA",amandapaschoal.bsky.social,"Este ser é o pior que há do próprio lixo, ele é o chorume.",2024-10-05T11:52:25Z,0,0,1,2024-10-05T11:52:25Z,beto1berto.bsky.social,Beto,did:plc:66d4myypwtzbuvibzvhskqcj,lixo,1
at://did:plc:ygc5ovd3iduhnwvqylrtbwvo/app.bsky.feed.post/3l5ps7ejh7w26,bafyreib4nrwjznr6he4getxvmejqvhxkvpzyni45zia7s4athe3rk3agcy,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5oxz3hc4v2t,"VITÓRIA: METRÔ E TRENS SERÃO GRATUITOS NO DOMINGO ✊🏽

Votar é um DIREITO! E, após eu acionar o Governo de São Paulo, o Metrô e os trens da CPTM serão GRATUITOS no dia da eleição!

+ 👇🏽",amandapaschoal.bsky.social,"Olá Amanda, td bem? Vi um post da Erika falando sobre a proteção animal e ambiental e seu nome foi mencionado. Estou em busca de candidatos realmente comprometidos com a causa. Vc teria algum material para q eu usasse e direcionasse p/a proteção? Infelizmente, essa causa é sistematicamente ignorada+",2024-10-04T22:33:04Z,1,0,0,2024-10-04T22:17:50Z,erniehmgy.bsky.social,NA,did:plc:ygc5ovd3iduhnwvqylrtbwvo,animal,1
at://did:plc:4en22fmxnablw7jha2asnmzh/app.bsky.feed.post/3l5q4m2qzrg22,bafyreid537jh7kefsshf27ndytzyjgb77igiwytmw4s2ovuxhkv3ycytfm,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5oxz3hc4v2t,"VITÓRIA: METRÔ E TRENS SERÃO GRATUITOS NO DOMINGO ✊🏽

Votar é um DIREITO! E, após eu acionar o Governo de São Paulo, o Metrô e os trens da CPTM serão GRATUITOS no dia da eleição!

+ 👇🏽",amandapaschoal.bsky.social,"Se ela ainda não está lá e já está se afirmando no discurso e na narrativa que irá defender, imagina essa mulher eleita e vereadora de São Paulo? Não tenho roupa para esse evento, mas meu coração não precisa de vestir nada no domingo! @amandapaschoal.bsky.social TMJ COMPANHEIRA! 🩷💙🩷",2024-10-05T01:23:53Z,0,0,0,2024-10-05T01:23:53Z,bambirraphis.bsky.social,NA,did:plc:4en22fmxnablw7jha2asnmzh,mulher,1
at://did:plc:u7gzvkmvlhx4673aflaujeac/app.bsky.feed.post/3l5nrsonpe32p,bafyreiegig37z3h4f3b7p75s3zmmlnzkfhacltimbn6yv6my7arsx5ngee,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5nq4lohp72z,"Pablo Marçal, pra dizer que não odeia as mulheres, argumentou que é casado com uma e que a esposa dele está no debate com ele.

Um argumento risível, perante seu comportamento com as mulheres.

Mas aproveito pra relembrar: nem a esposa de Marçal vai votar no Marçal.

#BoulosPrefeito50 #DebateNaGlobo",amandapaschoal.bsky.social,Nāo dê visibilidade pra esse pilantra.  Fale bem do seu candidato e das propostas dele…,2024-10-04T03:05:25Z,0,0,1,2024-10-04T03:05:25Z,alvarodorio.bsky.social,Alvaro do Rio 🇧🇷🚩🔞🤪,did:plc:u7gzvkmvlhx4673aflaujeac,"Fale, pilantra",2
