reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:6ksgaaqwyde635rslmkcz5hy/app.bsky.feed.post/3l5axlkq6ph2c,bafyreidhd4o7rqa4p2cpok4wqnbjeues4vumihb6ml2pmdcjbhfw3fcrhy,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l536ziv4fg2b,"Faltam só 10 dias pra você votar 40! Chegou a vez de uma mulher da periferia cuidar da nossa cidade. Dia 6 de outubro vote com coragem e com a cabeça erguida porque, sim, nós temos as melhores propostas, o melhor time e somos a certeza de que SP pode e merece muito mais. Simbora! É #Tabata40! 🧡💪🏽","Tô com vc, 50 neles Tábata",2024-09-29T00:44:11.159Z,0,0,0,2024-09-29T00:44:11.159Z,bolliva.bsky.social,Thiago ,did:plc:6ksgaaqwyde635rslmkcz5hy
at://did:plc:5qnooarunk2qbng7i4auxwjf/app.bsky.feed.post/3l53ibgq4sb2w,bafyreiadgbz4c6sacwgxfu47y5ys4zuauzl4xncrnpwx35uuibqqv27zhy,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l536ziv4fg2b,"Faltam só 10 dias pra você votar 40! Chegou a vez de uma mulher da periferia cuidar da nossa cidade. Dia 6 de outubro vote com coragem e com a cabeça erguida porque, sim, nós temos as melhores propostas, o melhor time e somos a certeza de que SP pode e merece muito mais. Simbora! É #Tabata40! 🧡💪🏽","Começa a votar a favor do trabalhador que a mágica acontece, fófs",2024-09-26T20:26:47.276Z,0,0,2,2024-09-26T20:26:47.276Z,fabiogomesribeiro.bsky.social,Fabio Ribeiro,did:plc:5qnooarunk2qbng7i4auxwjf
at://did:plc:ztqhdja232i56ni7ycxv2a43/app.bsky.feed.post/3l532ao3ua22r,bafyreig7ot4pmlvgoyszxqmgrxkq7ycqbvlxt64cu52w7spjvqvnyrffvq,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l4y7gyxpj22t,"Você deixaria?

www.instagram.com/reel/DAVxVoy...","É muita falta de inteligência. Vc mesmo reclamava do mesmo artifício usado por Bolsonaro. Só por vc ser mulher é diferente? Não, homem NÃO pode dar soco, e seja mulher ou homem, candidatos a prefeitura não devem falar palavrão. Não se diminua de forma estúpida dessa. Ainda tem meu voto, mas vc erra.",2024-09-26T16:15:49.205Z,0,0,0,2024-09-26T16:15:49.205Z,buarquers.bsky.social,Buarque,did:plc:ztqhdja232i56ni7ycxv2a43
at://did:plc:jy6ht2wckiuxinwaae36o3ut/app.bsky.feed.post/3l4z4r4wder2m,bafyreidz2r5cihxkxkwlfbxo6qr74wxisfowrkt53nvsefseymxeqfsfpi,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l4y7gyxpj22t,"Você deixaria?

www.instagram.com/reel/DAVxVoy...",oi,2024-09-25T21:55:32.029Z,0,0,0,2024-09-25T21:55:29.913Z,tabataamaralsp.bsky.social,Tabata Amaral,did:plc:jy6ht2wckiuxinwaae36o3ut
at://did:plc:wwicvpdhp3epaopu5beskcl3/app.bsky.feed.post/3l5325cj7sa2o,bafyreifdltmpm2z4httqbyg3rz2bqq3jlbc4dhayizaehsyoljj3h7do6m,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l4wpg6w5bg23,#DebateSP #DebateDoFlow,"Expectativa: Vou ver o jornal para ver propostas dos candidatos.

Realidade: socos, cadeiradas, opinião sobre Pablo Marçal, discussão para saber como tem que ser as regras dos debates. 🙄",2024-09-26T16:13:38.645Z,0,0,0,2024-09-26T16:13:38.645Z,yudipolystation.bsky.social,Yudi PolyStation,did:plc:wwicvpdhp3epaopu5beskcl3
at://did:plc:vr4rmt3be3ebemle2vhhhvus/app.bsky.feed.post/3l4wvryqye226,bafyreib7yebhpycbmlfazxkoflfyxmiu3yljkcwbwk2klu2g5qrcz2bomy,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l4wpg6w5bg23,#DebateSP #DebateDoFlow,"Marçal disse que iria parar com os insultos e se tornaria um pessoa mais moderada. Durou apenas 1 dias.
Igual ao Trump após aquele atentado em meados de julho.",2024-09-25T00:46:21.362Z,0,0,1,2024-09-25T00:45:23.508Z,danielsm85.bsky.social,,did:plc:vr4rmt3be3ebemle2vhhhvus
at://did:plc:vnsxdgy3jsc7s5ma7mz3xutf/app.bsky.feed.post/3l4wpnqduph2z,bafyreifwapz3ih36imheunz3k5pgm2bshsserllvju7atbwcupu7tqcrty,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l4wpg6w5bg23,#DebateSP #DebateDoFlow,"Tabata, votei em você para deputada Federal,mas você perdeu meu voto para qualquer coisa, comparar a treva do Marçal e o volúvel do Nunes)que até dizer que se arrependeu de exigir o cartão de vacinação, fora os escândalos de corrupção)com Boulos é inaceitável. Com isso provou que não é uma democrata",2024-09-24T22:55:37.680Z,0,0,0,2024-09-24T22:55:37.680Z,anapszvz.bsky.social,Ana,did:plc:vnsxdgy3jsc7s5ma7mz3xutf
at://did:plc:tgx46nd4cmw4jevwmgdvpbfj/app.bsky.feed.post/3l4wrfaefjo23,bafyreie2yepla3hwk76oebe5fj7onstzedyeyvt2zatrjoig6nmqcxlaka,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l4wpg6w5bg23,#DebateSP #DebateDoFlow,"Ele conseguiu tirar você do sério. Na hora que você fala com o pessoal do Flow, vai virar meme.",2024-09-24T23:26:38.824Z,0,0,0,2024-09-24T23:26:38.824Z,josedouglas.bsky.social,José Douglas ,did:plc:tgx46nd4cmw4jevwmgdvpbfj
at://did:plc:kzwg2653vjiitnnfvqon3jic/app.bsky.feed.post/3l4zk5r744j2t,bafyreibuxyaaxkrbwyxgskoni5tbrm4ntb6h37ijf7ijgdeolpa3tlqm6a,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l4wpg6w5bg23,#DebateSP #DebateDoFlow,Tábata. O machismo em São Paulo não é diferente das demais regiões do Brasil. Você como deputada tem ajudado muito ao Brasil. Creio que você será nossa próxima Senadora. O Brasil precisa de pessoas como você no congresso para derrotar os extremistas.,2024-09-26T01:55:11.021Z,0,0,0,2024-09-26T01:55:11.021Z,alessandroamorim.bsky.social,Alessandro (União e Reconstrução),did:plc:kzwg2653vjiitnnfvqon3jic
at://did:plc:dc2b6br23m3y7lzxytgx4ikf/app.bsky.feed.post/3l4x4o6swhy2n,bafyreie2p4urjx7lwn3al4fev56le7wfafg6djjuxpe634d4acurrhe56y,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l4wpg6w5bg23,#DebateSP #DebateDoFlow,"Todo o seu discurso ainda não fez vc decolar. Não desanima. 
Teu marketeiro tem q ter humildade e ver onde pode mudar seu discurso, atitude e postura. E mudar sem medo. Mira no eleitor pra ganhar novos votos. 
Ex: sua história pessoal é forte, mas já deu. Tem outras tb. 
Bora pra frente Tabata",2024-09-25T02:48:31.548Z,0,0,0,2024-09-25T02:48:31.548Z,1970x.bsky.social,RP Politic,did:plc:dc2b6br23m3y7lzxytgx4ikf
