reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:jucd36dprbcgwsqzsbpt7bm4/app.bsky.feed.post/3l2zhjq4nyd2n,bafyreieyvty7yxh4x7azlsksoqphb6zh2txmb44imore4wsgpknjokx2x4,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3kvbqqklxxk2t,"Tive uma conversa maravilhosa com meus amigos do PCdoB de Goiás Fabio Tokarski, Professor Railton e Honório Rocha e com a Ministra de Estado da Ciência, Tecnologia e Inovações Luciana Santos, presidenta nacional do PCdoB. Foi um encontro super produtivo e agradável!",MÃE!,2024-08-31T14:17:49.055Z,0,0,0,2024-08-31T14:17:49.055Z,herroni.bsky.social,Felipe 🦋🌊,did:plc:jucd36dprbcgwsqzsbpt7bm4
at://did:plc:6toageacqxhcttmyo3kkbvx7/app.bsky.feed.post/3l2yfnm46jh2p,bafyreigz32vqzkinoidgriwndprgjjxscidhykzpnzqvxpljk76apfbrwu,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3kvbqqklxxk2t,"Tive uma conversa maravilhosa com meus amigos do PCdoB de Goiás Fabio Tokarski, Professor Railton e Honório Rocha e com a Ministra de Estado da Ciência, Tecnologia e Inovações Luciana Santos, presidenta nacional do PCdoB. Foi um encontro super produtivo e agradável!","Achei a minha querida no Blue. 
 Maravilha!!",2024-08-31T04:11:32.007Z,0,0,1,2024-08-31T04:11:32.007Z,henriquerj.bsky.social,HenriqueRJ,did:plc:6toageacqxhcttmyo3kkbvx7
at://did:plc:2co4f7avhr6h4pllygaovubz/app.bsky.feed.post/3l3eonpwcrm2m,bafyreidniep2yzpphtbmswa4zm75cvtwjyz2ecu4xuhny435detivpfrme,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3kvbqqklxxk2t,"Tive uma conversa maravilhosa com meus amigos do PCdoB de Goiás Fabio Tokarski, Professor Railton e Honório Rocha e com a Ministra de Estado da Ciência, Tecnologia e Inovações Luciana Santos, presidenta nacional do PCdoB. Foi um encontro super produtivo e agradável!",🚩✊🙏,2024-09-05T01:24:36.545Z,0,0,0,2024-09-05T01:24:36.545Z,luizpa31.bsky.social,@LUIZPA31,did:plc:2co4f7avhr6h4pllygaovubz
at://did:plc:z3xiltkfvwaqgifsnrzvcj6c/app.bsky.feed.post/3kqx54to66o2t,bafyreifry7ncdhddpqt74h34h7b7wd7ealgr42ubqhj3vojcdzl5rgrqka,at://did:plc:a5o5pa6imrd52s627zq63zgz/app.bsky.feed.post/3kqvi53mwel23,"🌵PL 3144/2021 institui a região do Vale do Panema (SP) como Área Especial de Interesse Turístico. A região gera empregos através do turismo e será preservada do ponto de vista cultural e ambiental. 

📸 Ricardo Stuckert","Toda festinha de cidades menores precisa dela 
É uma medida importante",2024-04-25T09:54:23.284Z,0,0,5,2024-04-25T09:54:23.284Z,penelopemoreira.bsky.social,Penélope ,did:plc:z3xiltkfvwaqgifsnrzvcj6c
at://did:plc:yyxo37xdqa6or4nz54ncln4r/app.bsky.feed.post/3kqviskif742q,bafyreigkbi2e53q5zaa3vxquiptq2uwrdcvw7ayno7lsxd4oodid7jbvpa,at://did:plc:a5o5pa6imrd52s627zq63zgz/app.bsky.feed.post/3kqvi53mwel23,"🌵PL 3144/2021 institui a região do Vale do Panema (SP) como Área Especial de Interesse Turístico. A região gera empregos através do turismo e será preservada do ponto de vista cultural e ambiental. 

📸 Ricardo Stuckert",Correção: não é Vale do PARANAPANEMA?,2024-04-24T18:18:03.506Z,0,0,0,2024-04-24T18:18:03.506Z,aforti.bsky.social,AForti,did:plc:yyxo37xdqa6or4nz54ncln4r
at://did:plc:xzk6xy4g7kwr5rykhlivcucj/app.bsky.feed.post/3kqvo2ljntc26,bafyreihbop7ceretmog2bslmdvkeaxtz6t3x5dztnsephr7ujjcvdbz55u,at://did:plc:a5o5pa6imrd52s627zq63zgz/app.bsky.feed.post/3kqvi53mwel23,"🌵PL 3144/2021 institui a região do Vale do Panema (SP) como Área Especial de Interesse Turístico. A região gera empregos através do turismo e será preservada do ponto de vista cultural e ambiental. 

📸 Ricardo Stuckert",assessoria do lula: vocês esqueceram do threads? a conta do presidente  no threads tem 2 milhões de seguidores VS 36 mil seguidores aqui. saiu a noticia ontem que o threads já tem mais usuários ativos diariamente que o twitter. não percam o espaço lá,2024-04-24T19:52:02.046Z,0,0,2,2024-04-24T19:52:02.046Z,pessoa.bsky.social,dr. ovas,did:plc:xzk6xy4g7kwr5rykhlivcucj
at://did:plc:wwjhk233jyakrt2wdul6yuyi/app.bsky.feed.post/3kqw2qb22fp2y,bafyreif3ud7vpmaqqapo6m3zmuhq5i57quzae65davaoijo6u75wim4uqe,at://did:plc:a5o5pa6imrd52s627zq63zgz/app.bsky.feed.post/3kqvi53mwel23,"🌵PL 3144/2021 institui a região do Vale do Panema (SP) como Área Especial de Interesse Turístico. A região gera empregos através do turismo e será preservada do ponto de vista cultural e ambiental. 

📸 Ricardo Stuckert",mais uma obra do GOV LULA,2024-04-24T23:38:54.110Z,0,0,2,2024-04-24T23:38:54.110Z,cj1wv2bwjkbw3.bsky.social,Vassili67,did:plc:wwjhk233jyakrt2wdul6yuyi
at://did:plc:wva6hixu62pgd35m3gmlxz7k/app.bsky.feed.post/3kqzqiybpk42c,bafyreifn4jzbtatufsd2yngnecbm4axsofbcqapnciytozcrxepjcyqrx4,at://did:plc:a5o5pa6imrd52s627zq63zgz/app.bsky.feed.post/3kqvi53mwel23,"🌵PL 3144/2021 institui a região do Vale do Panema (SP) como Área Especial de Interesse Turístico. A região gera empregos através do turismo e será preservada do ponto de vista cultural e ambiental. 

📸 Ricardo Stuckert",A hora de agir é agora! #LulaRecebaOsTAE,2024-04-26T10:42:28.990Z,0,0,0,2024-04-26T10:42:28.990Z,valtermaier.bsky.social,,did:plc:wva6hixu62pgd35m3gmlxz7k
at://did:plc:skbkuh65awxytqknwxfrhphp/app.bsky.feed.post/3kqvipn4iqe2d,bafyreiepzc7e4lqxg6y6a5agjvu7ftsgguly4u5obltrapa56vkosuztby,at://did:plc:a5o5pa6imrd52s627zq63zgz/app.bsky.feed.post/3kqvi53mwel23,"🌵PL 3144/2021 institui a região do Vale do Panema (SP) como Área Especial de Interesse Turístico. A região gera empregos através do turismo e será preservada do ponto de vista cultural e ambiental. 

📸 Ricardo Stuckert",só lapada,2024-04-24T18:16:23.953Z,0,0,1,2024-04-24T18:16:23.953Z,nildenovo.bsky.social,Nil 🌻🐋🎨🎶🇧🇷🚩,did:plc:skbkuh65awxytqknwxfrhphp
at://did:plc:osedtkcb4rxql7tg75lkw6zw/app.bsky.feed.post/3krc3wdfzyt25,bafyreibqgk7ggzm5lykw7gc5fidczzz26hfq6kt3bp53eaih44j25236r4,at://did:plc:a5o5pa6imrd52s627zq63zgz/app.bsky.feed.post/3kqvi53mwel23,"🌵PL 3144/2021 institui a região do Vale do Panema (SP) como Área Especial de Interesse Turístico. A região gera empregos através do turismo e será preservada do ponto de vista cultural e ambiental. 

📸 Ricardo Stuckert",Avaré Agradece...era uma demanda bem antiga. Conheçam a represa Jurumirim é maravilhosa.,2024-04-29T18:32:07.363Z,0,0,0,2024-04-29T18:32:07.363Z,person69.bsky.social,Alexandre Person - JA 🤩,did:plc:osedtkcb4rxql7tg75lkw6zw
