uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did,violence_detected
at://did:plc:h4kaoijlyycm5vw5wjhhan4m/app.bsky.feed.post/3l3saz5mudh2j,bafyreidgjyqlkmnp5qvkc6cij4s6tnqf4qg5aymybt7vrplsp6lldrtwda,É assustador a frequência desses casos em PE,2024-09-10T10:57:43Z,0,0,0,2024-09-10T10:57:43Z,dudinices.bsky.social,Maria,did:plc:h4kaoijlyycm5vw5wjhhan4m,sem violência detectada
at://did:plc:p6b4faz7zs56d2gx4euxsln2/app.bsky.feed.post/3l3r4bmgoc42v,bafyreic2sfanffz7znm4fmz3uvkjryzzkdunydfqnt45ekq3mx6y346oei,Espero que as autoridades competentes cheguem o quanto antes aos autores desses crimes. O ódio e a violência não combinam com a democracia.,2024-09-10T00:00:19Z,0,0,0,2024-09-10T00:00:19Z,daniportelapsol.bsky.social,Dani Portela,did:plc:p6b4faz7zs56d2gx4euxsln2,violência/ódio detectado
at://did:plc:p6b4faz7zs56d2gx4euxsln2/app.bsky.feed.post/3l3r4b5ptv225,bafyreih33m4erndgt263toq7xeakj723vuq3u63ssty35qgv2w3jhvmboy,"Da mesma forma, lamento e torço por uma rápida recuperação do filho de Veia de Aprígio, candidata a prefeita de Surubim, Neto de Veia, que sofreu um atentado e foi atingido por dois tiros no último fim de semana.",2024-09-10T00:00:04Z,1,0,0,2024-09-10T00:00:04Z,daniportelapsol.bsky.social,Dani Portela,did:plc:p6b4faz7zs56d2gx4euxsln2,sem violência detectada
at://did:plc:p6b4faz7zs56d2gx4euxsln2/app.bsky.feed.post/3l3izjjt4bx2c,bafyreihldiu3q5s2sr55o733lljpqs7bedwut2gsdhlfag3dapfnigs67e,"Confio que as medidas que estão sendo tomadas pelo Presidente Lula, junto aos órgãos responsáveis por esse tipo de caso, são acertadas e irão assegurar que se faça justiça.",2024-09-06T18:49:45Z,0,0,0,2024-09-06T18:49:45Z,daniportelapsol.bsky.social,Dani Portela,did:plc:p6b4faz7zs56d2gx4euxsln2,sem violência detectada
at://did:plc:p6b4faz7zs56d2gx4euxsln2/app.bsky.feed.post/3l3izj7s4fo22,bafyreieqfsgfulbxjgzqvgd3oe7fgld3vdqk5mujcrsjsw5oaxglukkybi,"As denúncias que vieram à tona são graves e devem ser apuradas com todo rigor, garantindo a necessária escuta e o respeito pelas vitimas.",2024-09-06T18:49:35Z,1,0,0,2024-09-06T18:49:35Z,daniportelapsol.bsky.social,Dani Portela,did:plc:p6b4faz7zs56d2gx4euxsln2,sem violência detectada
at://did:plc:3ui6y6idfdzsiwtqfwt5qh4i/app.bsky.feed.post/3l3gueq7aax2p,bafyreicoyaigql7gzohrejayxrjm5do4pktpbnblbmkfzkjnd2kiaovtta,Ótima analogia 👏🏽👏🏽👏🏽,2024-09-05T22:12:15Z,0,0,0,2024-09-05T22:12:15Z,jclovis1970.bsky.social,João Clóvis,did:plc:3ui6y6idfdzsiwtqfwt5qh4i,sem violência detectada
at://did:plc:uqdczobbhhpebx3p6bb7p7ld/app.bsky.feed.post/3l5elshihdn2z,bafyreidy4q3m7f4v6lk5wyfxxcpmnf6ylpysfbfonjio22lteymsxe7rxe,Queria como minha governadora e prefeita ❤️,2024-09-30T11:23:55Z,0,0,0,2024-09-30T11:23:55Z,ricardohartmann.bsky.social,Ricardo Hartmann,did:plc:uqdczobbhhpebx3p6bb7p7ld,sem violência detectada
