uri,cid,text,created_at,reply_count,repost_count,like_count,author_handle,author_display_name,author_avatar,author_did
at://did:plc:xgkc52lmtlx4pvmfz7rwsvoe/app.bsky.feed.post/3ktkafclm252o,bafyreigq4quzysgn7ud3ecfeekxhiwwcyenvwv42fdsebc42y4lts42uym,"Alguem viu algo da Tabata sobre privatização das escolas?

O que ela acha?

Quando a Educacao mais precisa, nao temos noticias da pessoa que tem Educação como pauta 🤷🏻‍♀️",2024-05-28T11:03:47.563Z,2,6,27,isabelmedeiros.bsky.social,Isabel Medeiros,https://cdn.bsky.app/img/avatar/plain/did:plc:xgkc52lmtlx4pvmfz7rwsvoe/bafkreib4vbud3ehfqqdypa4q3qgskncba77roqgwhyqv4eukgbpslf74cy@jpeg,did:plc:xgkc52lmtlx4pvmfz7rwsvoe
at://did:plc:eqcrnqouxkm5uhpykpm5xvmc/app.bsky.feed.post/3ktk76kr2vp2x,bafyreihja3rkasre5rskelc5abbrb3lvpap4mq7rarntnfezxsigqynlbe,"favorite part of kickboxing is the trainer going ""we finished 5 minutes early, so we're gonna do a Tabata""",2024-05-28T10:42:07.180Z,0,0,0,deathandaxes.bsky.social,Elanor🪓,https://cdn.bsky.app/img/avatar/plain/did:plc:eqcrnqouxkm5uhpykpm5xvmc/bafkreih4oqwaaelrqkhxms3xqi7ew7wtt2dgm5o2tvkkfqqiouk4mt6qty@jpeg,did:plc:eqcrnqouxkm5uhpykpm5xvmc
at://did:plc:ntvl5lg2aubzxsvqwehn3biz/app.bsky.feed.post/3ktitornn2j25,bafyreiapmulm4j2ydnl77vbwtohuyjwcqw2pz5bciwnw7uecaz4tpbru54,"🚀 Mangá na Amazon

📖 Black Clover - 33 de 36+
🖋️ Yuki Tabata
🏢 Editora Panini

💰 De R$ 34,90 por R$ 27,05
📈 22% de desconto

※ Este é um link de afiliado :)
🔗 jbox.com.br/links/…",2024-05-27T18:43:46-03:00,0,0,0,ofertas.jbox.com.br,JBot 🤖| Ofertas e Pré-vendas 🈹🔖,https://cdn.bsky.app/img/avatar/plain/did:plc:ntvl5lg2aubzxsvqwehn3biz/bafkreidrv2ksrisojuc2lchzrxpgqohlutrcopq43mtnyjv4yaikyhn7sa@jpeg,did:plc:ntvl5lg2aubzxsvqwehn3biz
at://did:plc:srghqfdjt4up2rwuk4p5amtn/app.bsky.feed.post/3ktijyxzu4t26,bafyreianx6gcevfr5gvsrp7g2xftfny6ojnflncgh4nwlm66plh4ddyxfi,"Tabata é o contra ponto ao Kim. Boulos/Tabata, Nunes/Kim.",2024-05-27T18:50:29.966Z,0,0,0,jbsousa12.bsky.social,Zé ,https://cdn.bsky.app/img/avatar/plain/did:plc:srghqfdjt4up2rwuk4p5amtn/bafkreiakwb4zfhxm6odogydnsr66eoxhmjunbrcl7rbpgv3mzlecjef4ry@jpeg,did:plc:srghqfdjt4up2rwuk4p5amtn
at://did:plc:p4m72dwgitgpocd24c5qf6on/app.bsky.feed.post/3ktijve6wyt27,bafyreiayvpqky7shb73xqyxk77qzriv6n74dfr5l75biwa33ucnoloprtq,Vou de Tabata. #NaoReelejaRicardoNunes,2024-05-27T18:48:29.748Z,0,0,0,silvieba.bsky.social,Silvia,https://cdn.bsky.app/img/avatar/plain/did:plc:p4m72dwgitgpocd24c5qf6on/bafkreibdymp5tocpfvnxltxz6uqocm4rndy5xes2btzgu3jvlo7yhsqfp4@jpeg,did:plc:p4m72dwgitgpocd24c5qf6on
at://did:plc:jzqijbrsfnpvtzg5tyh5duwm/app.bsky.feed.post/3ktihrumskh2u,bafyreicwq2gnqa2xrym2f4drk6hvkerk3wkh37nmflynowo4vacqv62joi,"Tai!Gostaria governo Lula tivesse,implementando o modelo escola do MST.Mas ta colgando, o modelo Grupo 3G Camilo Tabata Amaral de formação d mão d obra empreendedora ou engenheiro gerentes  rentista. Formação Comunitária em Direitos Humanos, na Escola Nacional Florestan Fernandes (ENFF).",2024-05-27T18:10:44.968Z,0,1,4,jacksontome.bsky.social,Jackson Lula Tomé ,https://cdn.bsky.app/img/avatar/plain/did:plc:jzqijbrsfnpvtzg5tyh5duwm/bafkreibosu7j6yoeapadloxmiagfyshrc5bxl4c3phye3diwsb7cps5cuy@jpeg,did:plc:jzqijbrsfnpvtzg5tyh5duwm
at://did:plc:ntvl5lg2aubzxsvqwehn3biz/app.bsky.feed.post/3kthquv3b4e2g,bafyreic4p5mxnhvsbrle7hr4ftdobe27minnrh5lrzogjqe3r3h2ow7dyu,"🚀 Mangá na Amazon

📖 Black Clover - 23 de 36+
🖋️ Yuki Tabata
🏢 Editora Panini

💰 De R$ 33,90 por R$ 22,70
📈 33% de desconto 😮

※ Este é um link de afiliado :)
🔗 jbox.com.br/links/…",2024-05-27T08:20:50-03:00,0,0,0,ofertas.jbox.com.br,JBot 🤖| Ofertas e Pré-vendas 🈹🔖,https://cdn.bsky.app/img/avatar/plain/did:plc:ntvl5lg2aubzxsvqwehn3biz/bafkreidrv2ksrisojuc2lchzrxpgqohlutrcopq43mtnyjv4yaikyhn7sa@jpeg,did:plc:ntvl5lg2aubzxsvqwehn3biz
at://did:plc:paalvekjjx3dnhqxhvbkixiy/app.bsky.feed.post/3kthgbib2lu2g,bafyreia4auvhvrcs2ggdjdxzduqhlmvxg2hs3dvwkz2a4h2ad2ylsxa2um,"Wir hatten vorhin Tabata (so eine Art Lightvariante von hochintensivem Intervalltraining) und ich hab die Übungen vielleicht ein bisschen schneller und intensiver gemacht als die übrigen Patienten. Einer der Väter meinte danach, er hätte jetzt Angst vor mir 😅",2024-05-27T08:11:01.959Z,1,0,13,wehschnittchen.bsky.social,Wehschnittchen,https://cdn.bsky.app/img/avatar/plain/did:plc:paalvekjjx3dnhqxhvbkixiy/bafkreihxzhifocwuqytvr2nwvtxgxrfebfwfq76aajqa25jx5mj3brchpa@jpeg,did:plc:paalvekjjx3dnhqxhvbkixiy
at://did:plc:ntvl5lg2aubzxsvqwehn3biz/app.bsky.feed.post/3ktgbjypcgz2b,bafyreieh5ktnw3ymgvvhx2yn6bql6q4ynv7znefsltv44jfj6ixjyugfue,"🚀 Mangá na Amazon

📖 Black Clover - 5 de 36+
🖋️ Yuki Tabata
🏢 Editora Panini

💰 De R$ 34,90 por R$ 14,99
📈 57% de desconto 🥵

※ Este é um link de afiliado :)
🔗 jbox.com.br/links/…",2024-05-26T18:13:38-03:00,0,0,0,ofertas.jbox.com.br,JBot 🤖| Ofertas e Pré-vendas 🈹🔖,https://cdn.bsky.app/img/avatar/plain/did:plc:ntvl5lg2aubzxsvqwehn3biz/bafkreidrv2ksrisojuc2lchzrxpgqohlutrcopq43mtnyjv4yaikyhn7sa@jpeg,did:plc:ntvl5lg2aubzxsvqwehn3biz
at://did:plc:czkyipui6htuuizrwsfuk6wd/app.bsky.feed.post/3ktfnzj5kbk2s,bafyreigrcprvkinwpuld2py43uyiqbflabvwoovazipp2ktwbu62s4z6vu,"Façam um exercício...

Nunes implementando escolas civico-militares...

Tábata implementando....

Como é mesmo a atuação do secretário de educação do Tarcísio?

Tenderam ?",2024-05-26T15:24:24.148Z,0,1,1,annapd.bsky.social,Anna 🚩,https://cdn.bsky.app/img/avatar/plain/did:plc:czkyipui6htuuizrwsfuk6wd/bafkreidaorhjggzid47ril47ohhchwkbw7th3psgmnveuuxpnq5szizb2e@jpeg,did:plc:czkyipui6htuuizrwsfuk6wd
