uri,cid,text,created_at,reply_count,repost_count,like_count,author_handle,author_display_name,author_avatar,author_did
at://did:plc:nxnxu6qmluukxx2buftonk6c/app.bsky.feed.post/3l5h4lph6zb22,bafyreihqrz3him7g5uae7rgsw4nao73bvmqiq7k2mcfdrhnqdtuzei34oi,E vamos de @mariadorosario.bsky.social presente!,2024-10-01T11:29:43.799Z,0,5,7,coletivosalapt.bsky.social,@ColetivoSalaPT ,https://cdn.bsky.app/img/avatar/plain/did:plc:nxnxu6qmluukxx2buftonk6c/bafkreig2lpku6n5dfjo6ytx4lliwbw2tykqno6f25hm2btlh4isa77kjzm@jpeg,did:plc:nxnxu6qmluukxx2buftonk6c
at://did:plc:ppmfkrkzgquvhbmk56yxvnkc/app.bsky.feed.post/3l5gxbcizp72j,bafyreiehu7vvkoqfhvefncco5z2g3hghwptppoycp4dyoswor7butmbrje,"Ta chegando !!!!

Dia 06 é dia de Alegria com @mariadorosario.bsky.social  eleita prefeita de POA dale 🦋1️⃣3️⃣🦋🥰🥰🥰🥰🥰",2024-10-01T09:54:27.077Z,0,0,1,tiba2022.bsky.social,Tiba2022,https://cdn.bsky.app/img/avatar/plain/did:plc:ppmfkrkzgquvhbmk56yxvnkc/bafkreiegok3znlv6tqbexh2c3367k52k4zxycyfwm3xdnzrivhbrkkygni@jpeg,did:plc:ppmfkrkzgquvhbmk56yxvnkc
at://did:plc:vccv63yjiuuhordgabpt2zwy/app.bsky.feed.post/3l5fzqfwmjw2e,bafyreihjw2tshdibinvt3m2r6zodpy5iekemg2hgxxrsfy3v5fhxvrx27y,"AGORA É MARIA13.
@MariaDoRosario.bsky.social",2024-10-01T01:06:00.219Z,0,3,3,cinemabrasil.bsky.social,CinemaBrasil - ICCB,https://cdn.bsky.app/img/avatar/plain/did:plc:vccv63yjiuuhordgabpt2zwy/bafkreifu6237ubjvcilbtgapptdtrihnic3seirts5exjmkpja2xp4gxv4@jpeg,did:plc:vccv63yjiuuhordgabpt2zwy
at://did:plc:uauufbqvjeqqqzff3pbb6s2a/app.bsky.feed.post/3l5fxzxjafh2t,bafyreihangmd7pwfzzn4haetxrk6iinuk4skjshjxpabyinq3psd73xgza,"Alô POA, essa virada pode acontecer e só depende de vcs
#Vote13
@mariadorosario.bsky.social",2024-10-01T00:35:33.857Z,0,0,0,marinhando7.bsky.social,Marinha,https://cdn.bsky.app/img/avatar/plain/did:plc:uauufbqvjeqqqzff3pbb6s2a/bafkreidvh5bhqzy72r4f5sbxxz64kpzftgsc3pizet6f3twovc56eww3zy@jpeg,did:plc:uauufbqvjeqqqzff3pbb6s2a
at://did:plc:tb7h3hjsmk3mkpi2ey7p2no3/app.bsky.feed.post/3l5fwmxek4722,bafyreibenm2c7gbptut3gchyiwicbqa2abfn6o5rcsbjkw2m42ggguh6vi,"Rio Grande do Sul 
   Porto Alegre 
      #Vote13
      #votePT

Para prefeita de 
Porto Alegre
@mariadorosario.bsky.social 

#VoteTimeDoLula
#LulaTimeDeLuta
#LulaJuntosNoBsky
#ApoiemAposentados
@pt.org.br
@apostasmatam.bsky.social 

    São Paulo SP
#BoulosPrefeito
#VoteBoulos50
vote13.pt.org.br",2024-10-01T00:10:23.669Z,0,5,11,chrisnasuecia.bsky.social,chrisnasuécia🚩🇵🇸🇾🇪,https://cdn.bsky.app/img/avatar/plain/did:plc:tb7h3hjsmk3mkpi2ey7p2no3/bafkreie27wybrjexqqciddhbaen6h47ixgrp6325ezwbhclqszejf7s7xm@jpeg,did:plc:tb7h3hjsmk3mkpi2ey7p2no3
at://did:plc:wsbd3xmcuaobadwxyjmvx27t/app.bsky.feed.post/3l5ftfekdyy2b,bafyreia6v2spd6v3kbdihrxf3myrnahfds6hxpfgwsmymnofxl7abuvelq,"Assim NÃO APERTE 12

Que o @pt.org.br e a @mariadorosario.bsky.social façam o que até agora não fizeram: CAMPANHA FORTE, SERIA E ATACAR O MELO COM TUDO",2024-09-30T23:12:26.987Z,1,0,1,hlicnarf.bsky.social,FRANCI L,https://cdn.bsky.app/img/avatar/plain/did:plc:wsbd3xmcuaobadwxyjmvx27t/bafkreiatyhvgovng2a5nehr3kd773zee4j3uulxbpfk7qa4xfyvpxlqgkq@jpeg,did:plc:wsbd3xmcuaobadwxyjmvx27t
at://did:plc:awx5y63eerwxykwf4cvizajk/app.bsky.feed.post/3l5frwcl3hc2b,bafyreifj27r7rjzyjlnzsvcbqo4w2yqig4obbkaayvwh2hcggalj7ameta,Maria do Rosario!!! @mariadorosario.bsky.social PREFEITA!!! VAMOS PARA O SEGUNDO TURNO!!! @lula.com.br @pt.org.br @fcjanja.bsky.social @fernandohaddad.bsky.social @dilma.com.br @gleisi.bsky.social @leonelradde.bsky.social @luadmart.bsky.social MARIA DO ROSARIO PREFEITA!!! #FORAMELO!!,2024-09-30T22:46:07.363Z,1,0,1,bigf.bsky.social,Odeio o Boso ,https://cdn.bsky.app/img/avatar/plain/did:plc:awx5y63eerwxykwf4cvizajk/bafkreifglhoz662ayim4jsny7bcb6epil2mdzcqk5rnk5w5urf6mt43rpa@jpeg,did:plc:awx5y63eerwxykwf4cvizajk
at://did:plc:awx5y63eerwxykwf4cvizajk/app.bsky.feed.post/3l5fqtxpcyx23,bafyreif5jh4apkrrpq3mivxmtnzkhzkli345fwcklqqd457ueh4d4drk2i,Vamos!!! @mariadorosario.bsky.social Prefeita POA!!! Fora Melo!!! @pt.org.br @lula.com.br @geraldoalckimin.bsky.social @fcjanja.bsky.social @fernandohaddad.bsky.social @gleisi.bsky.social @luadmart.bsky.social Maria do Rosario PREFEITA! @leonelradde.bsky.social,2024-09-30T22:26:55.624Z,0,0,1,bigf.bsky.social,Odeio o Boso ,https://cdn.bsky.app/img/avatar/plain/did:plc:awx5y63eerwxykwf4cvizajk/bafkreifglhoz662ayim4jsny7bcb6epil2mdzcqk5rnk5w5urf6mt43rpa@jpeg,did:plc:awx5y63eerwxykwf4cvizajk
at://did:plc:qy477gj3f5zefdjzegez4hcq/app.bsky.feed.post/3l5fmpbidrw2u,bafyreih3iur53rgbvnyhb7tvxl2aieqxqjbetyzckqql7h2ryfqtmanxje,"Aqui em Porto Alegre nós vamos de Maria do Rosário 13
@mariadorosario.bsky.social",2024-09-30T21:16:57.919Z,0,0,3,saccilottoleal.bsky.social,VeraLuciaSLeal🚩,https://cdn.bsky.app/img/avatar/plain/did:plc:qy477gj3f5zefdjzegez4hcq/bafkreiejwbxiszrhsi66c57ltmcvrmqwdd7bjpein6bvxgb3clvz72lume@jpeg,did:plc:qy477gj3f5zefdjzegez4hcq
at://did:plc:5jmtfiky62cyrro3hwc3vhly/app.bsky.feed.post/3l5fhtoapqe2y,bafyreic4ekk7xtbsdovyewtv6lc73uieunpwjabzmed7oyflhby54liztu,"PORTO ALEGRE (RS)
MARIA DO ROSÁRIO 13 PREFEITA
( @mariadorosario.bsky.social )

VOTE NAS CANDIDATAS E NOS CANDIDATOS DO PT ( @pt.org.br ) PARA VEREADOR !!!",2024-09-30T19:43:15.821Z,0,0,1,luciahmachiolli.bsky.social,   ,https://cdn.bsky.app/img/avatar/plain/did:plc:5jmtfiky62cyrro3hwc3vhly/bafkreibittui4bkzkayncubhwalrbtcedngs6uxhfbcfjhdimxkxtwi26u@jpeg,did:plc:5jmtfiky62cyrro3hwc3vhly
