reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:j3cx5huaxmibg6xpkzu6uaub/app.bsky.feed.post/3l3dajugnrb2o,bafyreidm7xgkwytrc6jx4y5iwjpqf7nytnrgzuuxe6jc55mirc7fsxkjra,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37kew7qai2i,"Por uma gestão que realmente prioriza um sistema de transporte integrado, justo e acessível. #Natalia13 #ChegaDeEx","@guilhermeboulos.bsky.social como iremos discutir proposta se é som vídeo, cade a lista de propostas, vamos trabalhar meu caro, coloca esse povo para produzir. o eleitor de centro quer ideias e não retórica apenas, sair da oralidade um pouco. Aprende com a campanha de @nataliabonavides.bsky.social",2024-09-04T11:39:14.059Z,0,0,0,2024-09-04T11:39:14.059Z,linguaferina.bsky.social,Língua Ferina,did:plc:j3cx5huaxmibg6xpkzu6uaub
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37k6rq5br2r,bafyreig5226fjnhuebc75yj44neqbasrxzpi4u35cfzp7zncims6i3yfwm,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37k5twk7j2k,"Nós acreditamos que a Prefeitura tem que ter o poder sobre o sistema de transporte. Isso não significa que uma empresa pública fará essa gestão. A licitação é imprescindível. 

+","Porém, não é possível seguir com a dinâmica atual na qual os empresários mandam e desmandam, sem nenhuma contrapartida, e a Prefeitura baixa a cabeça. 

Transporte público não é favor, é DIREITO! #ChegaDeEx",2024-09-03T00:21:21.468Z,0,3,47,2024-09-03T00:21:21.468Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:3hkgyedjzp4xal2gk5zj3c6l/app.bsky.feed.post/3l37kaj2tvt2y,bafyreidy4asehdpzmq3cjlmvhkzq7mygxa3dflnftxdlkyvroswc2o6dwe,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37jjjw4lg2l,"Nosso mandato entrou na Justiça pela volta das linhas de ônibus descontinuadas na pandemia. Já obtivemos mais de 10 decisões favoráveis, que foram simplesmente descumpridas pela SETURN com anuência da gestão atual. #ChegaDeEx",Tem rua em ponta negra que não passa ônibus dês da pandemia,2024-09-03T00:22:18.421Z,1,0,0,2024-09-03T00:22:18.421Z,marianamsgr.bsky.social,❤️‍🔥Nana,did:plc:3hkgyedjzp4xal2gk5zj3c6l
at://did:plc:shi5vc5zbqeu2m3l36ne6xbq/app.bsky.feed.post/3l37idlwl5b26,bafyreidvqg3klui52gasgrmq5cezihrjlgtuxnwqrds3hu52acguerp7gm,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37hqeeqj525,"A gente sabe qual a época de chuvas. A gente sabe quais as áreas de alagamento. Então por que nada foi feito até hoje?

A Prefeitura destinou este ano um orçamento para manutenção de 20 lagoas de captação. NATAL TEM 80 LAGOAS. A conta simplesmente não fecha. O nome disso é descaso! #ChegaDeEx",NATÁLIA PREFEITA 13,2024-09-02T23:48:15.613Z,0,0,2,2024-09-02T23:48:15.613Z,ch-r.bsky.social,Carlos,did:plc:shi5vc5zbqeu2m3l36ne6xbq
at://did:plc:j3cx5huaxmibg6xpkzu6uaub/app.bsky.feed.post/3l3dag6d4fn2y,bafyreigptkghldp4mgfvy7fwentgh5zgadvl4ggtarftf5hixf6w6dnhy4,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37hqeeqj525,"A gente sabe qual a época de chuvas. A gente sabe quais as áreas de alagamento. Então por que nada foi feito até hoje?

A Prefeitura destinou este ano um orçamento para manutenção de 20 lagoas de captação. NATAL TEM 80 LAGOAS. A conta simplesmente não fecha. O nome disso é descaso! #ChegaDeEx","@guilhermeboulos.bsky.social tua campanha tem que apresentar propostas dessa forma, não tem um card no teu conteúdo, repensar a forma, não é apenas verbo, devem ser letras também.",2024-09-04T11:37:10.197Z,0,0,0,2024-09-04T11:37:10.197Z,linguaferina.bsky.social,Língua Ferina,did:plc:j3cx5huaxmibg6xpkzu6uaub
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37hhdvaq42i,bafyreicetdrb5cfzaw4upuckjucoiqbldofqtteol3q77xbdme7zwf4smm,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37hfsi73l2h,"Paulinho MENTE ao dizer que o Governo do RN pagou as 5 folhas em atraso, deixada pela gestão anterior, com recursos enviados pelo governo Bolsonaro. Nada nos foi enviado durante esse período.

+","O Governo do RN, sob a liderança da professora Fátima, com muito trabalho, conseguiu pagar essas folhas por causa de reajustes na arrecadação de impostos, como a implantação do Nota Potiguar e do Refiz.

Fake News aqui não! #ChegaDeEx",2024-09-02T23:32:27.722Z,0,5,32,2024-09-02T23:32:27.722Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:2elbgrhqpaxt6txfndic3ldu/app.bsky.feed.post/3l3amajchdi25,bafyreicrc7jcmwct3kbyllziav6rredxvyqyyp63mulxi653i2os367xv4,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37hfsi73l2h,"Paulinho MENTE ao dizer que o Governo do RN pagou as 5 folhas em atraso, deixada pela gestão anterior, com recursos enviados pelo governo Bolsonaro. Nada nos foi enviado durante esse período.

+",Ele usa a principal arma do bolsonarismo: a mentira,2024-09-03T10:30:46.746Z,0,0,0,2024-09-03T10:30:46.746Z,gferreirasantos.bsky.social,Gustavo Ferreira Santos,did:plc:2elbgrhqpaxt6txfndic3ldu
at://did:plc:rrz3jcwo6xb4vsv4ojzqemp4/app.bsky.feed.post/3l37hawzwbw2r,bafyreiddpmiiubostex6eepqe7v26sv77gy3r4vpsb2omloojstxhokmrm,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37h5hl7qn2f,"Crianças não são números. Creche é um direito FUNDAMENTAL. Sou a única candidata mulher, e faço questão de priorizar essa questão. E repito, foi Carlos Eduardo que começou o sorteio de crianças, e essa prática foi mantida pela gestão de Álvaro Dias. 

Nós vamos fazer diferente! #ChegaDeEx",Sorteio para matricular as crianças nas vagas disponíveis?,2024-09-02T23:28:52.109Z,0,0,0,2024-09-02T23:28:52.109Z,journalistbluestar.bsky.social,Journalist Blue Star,did:plc:rrz3jcwo6xb4vsv4ojzqemp4
at://did:plc:z3xiltkfvwaqgifsnrzvcj6c/app.bsky.feed.post/3l37h2hhxtk27,bafyreifxbiqfw25usnejawagmg25lr5v54zeileoxihmbxdcehdc2fap2m,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37gyzsn2b2d,"Ao contrário do que afirma o candidato Paulinho, a João Medeiros está sim incluída no plano de requalificação das estradas do Governo do RN. Com recursos oriundos do PAC, do Governo Federal. #ChegaDeEx",👏,2024-09-02T23:25:15.198Z,1,0,3,2024-09-02T23:25:15.198Z,penelopemoreira.bsky.social,Penélope ,did:plc:z3xiltkfvwaqgifsnrzvcj6c
at://did:plc:3a7seibha5lthlrqaxbk4zao/app.bsky.feed.post/3l37imgnxce2i,bafyreidkirwe3xh2dc3is22mj6cxbmcpkw4txypqaktaixw6qinpbzd4ei,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l37e2x34di2r,"Boa noite, genteee! Tô animada aqui para o #DebateNa98! Simbora conversar com quem tem coragem de debater Natal! #ChegaDeEx #NataliaNa98",👊,2024-09-02T23:53:12.388Z,0,0,0,2024-09-02T23:53:12.388Z,drmurillopsiquiatra.med.br,Dr Murillo,did:plc:3a7seibha5lthlrqaxbk4zao
