reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:jsl5ipgt3pz5dymsttdtlre4/app.bsky.feed.post/3kqaqpbthdp2a,bafyreia2ybzj2hh4skjr4ryecjwgcoyxx6qynbvuqq5r65xmcaahgu2b74,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kqaqgzio3a2g,"MAIS UM PREFEITO DE DIREITA PRESO EM SANTA CATARINA!

Com a prisão do prefeito de Urussanga, chega a 19 o número de prefeitos presos por suspeita de corrupção no nosso estado. É a direita saqueando os cofres públicos, enquanto defende a família, a pátria e faz arminha com a mão.","Por isso se dizem ""conservadores"". Querem conservar o direito de serem suspeitos de cometer corrupção. Nosso estado em grande parte adora defender esses suspeitos.",2024-04-16T12:13:29.329Z,0,0,0,2024-04-16T12:13:29.329Z,wolfadriano.bsky.social,Adriano Thiesen Wolf ,did:plc:jsl5ipgt3pz5dymsttdtlre4
at://did:plc:vwok5v7pc6wnhrehrvb2m5pt/app.bsky.feed.post/3kqapvv6bod2d,bafyreiebwk42fjupdpnvqbe4ujlkcq3vdu2uawo4s3uk2ruatofwormium,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kq7hjslkl62t,"Bolsonaro ABANDONOU Santa Catarina.

Agora, muita gente se faz de desentendida sobre os motivos de as rodovias federais estarem em situação precária no nosso estado.

Vai ser difícil, mas o governo Lula está investindo fortemente para recuperar o desastre deixado pelo fascismo!","Os investimentos estão em todos os Estados!
Por todos os lugares do Brasil as obras paradas foram retomadas e novos empreendimentos nascem junto com o NOVO PAC , levando mais empregos.
#LulaGovernoDoPovo",2024-04-16T11:59:17.046Z,0,5,15,2024-04-16T11:59:17.046Z,dri13.bsky.social,Dri 🦋🇧🇷🚩@pt13democracia,did:plc:vwok5v7pc6wnhrehrvb2m5pt
at://did:plc:7jskw32nbg24tfcdn3ddjily/app.bsky.feed.post/3kqapn2zdj52u,bafyreihzfmpb4pgghegrgxdb5kzelog4hmb256e4cjuxwmx4egq4gk3ygm,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kq7hjslkl62t,"Bolsonaro ABANDONOU Santa Catarina.

Agora, muita gente se faz de desentendida sobre os motivos de as rodovias federais estarem em situação precária no nosso estado.

Vai ser difícil, mas o governo Lula está investindo fortemente para recuperar o desastre deixado pelo fascismo!",Duvideodó que a população vai reconhecer.,2024-04-16T11:54:20.871Z,0,0,0,2024-04-16T11:54:20.871Z,adrisouza.bsky.social,Adri Souza,did:plc:7jskw32nbg24tfcdn3ddjily
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kq7fq5zyua2f,bafyreifgo6ky3ubjczr5c7hpukyzovgxevbtnipantpyc3utmjupni5yn4,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kq7fp4q4gl2g,"Por isso, o promotor de justiça deu prazo de dez dias para que o presidente da FLORAM, Bruno Vieira Luiz, responda se a vegetação cortada no local está submetida à lei da Mata Atlântica , e caso negativo, informe os critérios técnicos-jurídicos utilizados para sua dispensa.","O Pântano do Sul é uma região essencial para o ecossistema em Florianópolis, pois a água que se infiltra no solo, ajuda a recompor o aquífero que abastece algumas comunidades. Mais construções, significa mais impermeabilização do solo e mais esgoto sendo produzido.",2024-04-15T23:24:26.605Z,0,0,10,2024-04-15T23:24:26.605Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kq7fp4q4gl2g,bafyreid5crsvfzpbhppzkanltolzqxot4dzxfzhqcizlk7m3zdjco2x5yi,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kq7fmvw3ry2n,"A revisão do Plano Diretor, aprovada no ano passado, permitiu a urbanização em áreas sensíveis, como o Pântano do Sul, através das Áreas de Urbanização Especial. Na obra, realizada sem estudo ambiental prévio, foi identificado o corte de vegetação e impermeabilização do solo.","Por isso, o promotor de justiça deu prazo de dez dias para que o presidente da FLORAM, Bruno Vieira Luiz, responda se a vegetação cortada no local está submetida à lei da Mata Atlântica , e caso negativo, informe os critérios técnicos-jurídicos utilizados para sua dispensa.",2024-04-15T23:23:52.937Z,1,0,3,2024-04-15T23:23:52.937Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kq7fmvw3ry2n,bafyreidpexxqbelyehlpyzoszxt37jznyfd7sjto5dp27qmlkqruexvh4i,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kq7fmkstl32g,"Vale lembrar que em setembro de 2023, o ex-chefe de fiscalização da Floram foi preso preventivamente suspeito de cobrar propina para liberação de obras irregulares na Capital. O vídeo dele recebendo R$ 50 mil em propina foi exibido nacionalmente pelo Fantástico, da TV Globo.","A revisão do Plano Diretor, aprovada no ano passado, permitiu a urbanização em áreas sensíveis, como o Pântano do Sul, através das Áreas de Urbanização Especial. Na obra, realizada sem estudo ambiental prévio, foi identificado o corte de vegetação e impermeabilização do solo.",2024-04-15T23:22:38.914Z,1,0,2,2024-04-15T23:22:38.914Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kq7fmkstl32g,bafyreibfrsbob6fp6mukhwg64tzbvsbr4lhpu7ladeqnkziyzkorscszo4,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kq7fm4vicj2a,"🚨 URGENTE: Após denúncia feita pelo nosso mandato, a 28ª Promotoria de Justiça da Capital instaurou um Inquérito Civil para apurar possíveis irregularidades de um empreendimento que estava sendo construído na Armação do Pântano do Sul, sem licenciamento ou autorização ambiental.","Vale lembrar que em setembro de 2023, o ex-chefe de fiscalização da Floram foi preso preventivamente suspeito de cobrar propina para liberação de obras irregulares na Capital. O vídeo dele recebendo R$ 50 mil em propina foi exibido nacionalmente pelo Fantástico, da TV Globo.",2024-04-15T23:22:27.307Z,1,1,9,2024-04-15T23:22:27.307Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:rfud6co5sggiy5nz7kizfhkd/app.bsky.feed.post/3kpz5xjcqbl2p,bafyreig2ww4kojbyswzwd4knza6uzfiw3aram352zektm6sargn5sfrrqi,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpy7i6dmyn2z,Até amanhã 😘,Seguindo. SDV. Vou adorar. 😘✌️,2024-04-13T11:49:25.190Z,0,0,1,2024-04-13T11:49:25.190Z,marcellerenat.bsky.social,MarcelleTransGressora,did:plc:rfud6co5sggiy5nz7kizfhkd
at://did:plc:z3xiltkfvwaqgifsnrzvcj6c/app.bsky.feed.post/3kq2fuu4d6r26,bafyreif5yusq4yk4dqhvslgcv2cydnsb73znkzavc7twq6tttyfuhv5cne,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpy5qlx6oo2g,"SEM DINHEIRO PRA FASCISTA!

O Governo @lulaoficial.bsky.social  acaba de suspender TODOS os CONTRATOS de publicidade com o X de Elon Musk.

Você também apoia a decisão do presidente?",simmm,2024-04-13T23:43:47.414Z,0,0,1,2024-04-13T23:43:47.115Z,penelopemoreira.bsky.social,Penélope ,did:plc:z3xiltkfvwaqgifsnrzvcj6c
at://did:plc:xrykbrmqr3vd3evpv7gmqivm/app.bsky.feed.post/3kpy5ugeaxa2x,bafyreiedtn6oy34hmrcgpdvq3reoryj3ngvuss6sx2eu6tl6mpr55655jq,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3kpy5qlx6oo2g,"SEM DINHEIRO PRA FASCISTA!

O Governo @lulaoficial.bsky.social  acaba de suspender TODOS os CONTRATOS de publicidade com o X de Elon Musk.

Você também apoia a decisão do presidente?",Segue nós ❤️🦋,2024-04-13T02:15:02.840Z,3,7,18,2024-04-13T02:15:02.840Z,lizete.bsky.social,Lizete Maciel,did:plc:xrykbrmqr3vd3evpv7gmqivm
